scenario_id,type,pasa,fallos,detalles,respuesta_modelo
one_shot_01,one_shot,1,,,"[{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""C-1042"", ""severity"": ""high"", ""description"": ""the portal is down""}}]"
one_shot_02,one_shot,1,,,"[{""tool"": ""notify"", ""args"": {""customer_id"": ""C-2001"", ""message"": ""Your order has shipped!""}}]"
one_shot_03,one_shot,1,,,"[{""tool"": ""schedule_maintenance"", ""args"": {""equipment_id"": ""EQ-77"", ""date"": ""2026-08-01""}}]"
one_shot_04,one_shot,1,,,"[{""tool"": ""update_address"", ""args"": {""id"": ""R-15"", ""street"": ""42 Oak Street"", ""city"": ""Springfield"", ""zip"": ""62704""}}]"
one_shot_05,one_shot,1,,,"[{""tool"": ""get_balance"", ""args"": {""account_id"": ""ACC-9""}}]"
chain_01,data_chain,1,,,"[{""tool"": ""find_customer"", ""args"": {""name"": ""John Smith""}}, {""tool"": ""get_account"", ""args"": {""customer_id"": ""$1.id""}}, {""tool"": ""get_balance"", ""args"": {""account_id"": ""$2.account_id""}}]"
chain_02,data_chain,0,formato_invalido,expected a JSON array of calls,"{""setup"": [{""tool"": ""find_customer"", ""args"": {""name"": ""Maria Lopez""}}], ""branches"": [{""condition"": {""field"": ""$1.id"", ""op"": ""!="", ""value"": null}, ""calls"": [{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""$1.id"", ""severity"": ""low"", ""description"": ""billing question""}}]}, {""condition"": ""else"", ""calls"": []}]}"
chain_03,data_chain,0,longitud_incorrecta;args_incorrectos,"calls: expected 2 call(s), got 3;call 2: expected tool 'notify', got 'get_invoice'","[{""tool"": ""find_customer"", ""args"": {""name"": ""Ana Torres""}}, {""tool"": ""get_invoice"", ""args"": {""customer_id"": ""$1.id""}}, {""tool"": ""notify"", ""args"": {""customer_id"": ""$1.id"", ""message"": ""Your invoice is ready.""}}]"
chain_04,data_chain,1,,,"[{""tool"": ""find_equipment"", ""args"": {""location"": ""Dallas warehouse""}}, {""tool"": ""schedule_maintenance"", ""args"": {""equipment_id"": ""$1.equipment_id"", ""date"": ""2026-09-15""}}]"
chain_05,data_chain,1,,,"[{""tool"": ""find_customer"", ""args"": {""name"": ""David Kim""}}, {""tool"": ""get_account"", ""args"": {""customer_id"": ""$1.id""}}, {""tool"": ""transfer"", ""args"": {""source"": ""ACC-1"", ""destination"": ""$2.account_id"", ""amount"": 250}}]"
reject_01,rejection,1,,,"{""error"": ""no tool available""}"
reject_02,rejection,1,,,"{""error"": ""no tool available""}"
reject_03,rejection,1,,,"{""error"": ""no tool available""}"
reject_04,rejection,1,,,"{""error"": ""no tool available""}"
reject_05,rejection,1,,,"{""error"": ""no tool available""}"
cond_01,conditional,1,,,"{""setup"": [{""tool"": ""get_balance"", ""args"": {""account_id"": ""ACC-5""}}], ""branches"": [{""condition"": {""field"": ""$1.balance"", ""op"": "">"", ""value"": 1000}, ""calls"": [{""tool"": ""transfer"", ""args"": {""source"": ""ACC-5"", ""destination"": ""ACC-8"", ""amount"": 500}}]}, {""condition"": ""else"", ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""C-77"", ""message"": ""Your funds are insufficient.""}}]}]}"
cond_02,conditional,0,rama_faltante,response has no 'branches' structure,"{""setup"": [{""tool"": ""get_account"", ""args"": {""customer_id"": ""C-30""}}], ""branches"": [{""condition"": {""field"": ""$1.status"", ""op"": ""=="", ""value"": ""active""}, ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""C-30"", ""message"": ""Your account is due for renewal. Please complete the renewal process to avoid service interruption.""}}]}, {""condition"": ""else"", ""calls"": [{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""C-30"", ""severity"": ""medium"", ""description"": ""Account is inactive - requires investigation and possible reactivation.""}}}]}]}"
cond_03,conditional,1,,,"{""setup"": [{""tool"": ""get_invoice"", ""args"": {""customer_id"": ""C-12""}}], ""branches"": [{""condition"": {""field"": ""$1.amount"", ""op"": "">"", ""value"": 500}, ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""C-12"", ""message"": ""Your invoice amount is over $500. We have a payment plan available for you.""}}]}, {""condition"": ""else"", ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""C-12"", ""message"": ""Your payment is due.""}}]}]}"
cond_04,conditional,1,,,"{""setup"": [{""tool"": ""get_balance"", ""args"": {""account_id"": ""ACC-77""}}], ""branches"": [{""condition"": {""field"": ""$1.balance"", ""op"": ""<"", ""value"": 100}, ""calls"": [{""tool"": ""open_ticket"", ""args"": {""customer_id"": ""C-77"", ""severity"": ""high"", ""description"": ""Low balance alert""}}]}, {""condition"": ""else"", ""calls"": []}]}"
cond_05,conditional,1,,,"{""setup"": [{""tool"": ""find_customer"", ""args"": {""name"": ""Grace Chen""}}, {""tool"": ""get_account"", ""args"": {""customer_id"": ""$1.id""}}, {""tool"": ""get_balance"", ""args"": {""account_id"": ""$2.account_id""}}], ""branches"": [{""condition"": {""field"": ""$3.balance"", ""op"": "">="", ""value"": 5000}, ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""$1.id"", ""message"": ""You are eligible for the premium plan!""}}]}, {""condition"": ""else"", ""calls"": [{""tool"": ""notify"", ""args"": {""customer_id"": ""$1.id"", ""message"": ""You are currently on the standard plan.""}}]}]}"
